Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Toshiba,Gaming,11.76,Full HD 1366x768,AMD Ryzen 5 4.14GHz,16GB,512GB SSD,Nvidia GeForce GTX 960,Linux,3.67kg,22754.37
Vero,Netbook,16.19,Full HD 1920x1080,Intel Core i3 4.45GHz,32GB,1TB HDD,Nvidia GeForce 920,Linux,1.42kg,181936.46
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,61735.536
Google,2 in 1 Convertible,16.48,Full HD 2880x1800,AMD Ryzen 7 1.98GHz,32GB,256GB SSD,Nvidia GeForce GTX 1050Ti,macOS,1.46kg,137367.43
Razer,Notebook,11.82,Full HD 1920x1080,Intel Core i5 3.43GHz,32GB,256GB SSD,Nvidia GeForce 920,Linux,0.9kg,202586.64
Chuwi,Netbook,12.71,Full HD 3840x2160,AMD Ryzen 5 3.74GHz,4GB,256GB SSD,Intel HD Graphics 510,Linux,1.18kg,78144.17
Asus,2 in 1 Convertible,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.2kg,39373.92
Vero,Gaming,13.56,Full HD 2880x1800,Intel Core i3 3.57GHz,8GB,1TB SSD,Nvidia GeForce GTX 1050,Windows 7,3.74kg,20330.46
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.21kg,109277.28
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg,79866.72
Acer,Netbook,15.68,Full HD 1366x768,AMD Ryzen 5 2.04GHz,8GB,256GB SSD,Nvidia GeForce 150MX,Windows 10,3.62kg,18836.4
Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,Windows 10,1.12kg,52693.92
Mediacom,2 in 1 Convertible,14.12,Full HD 2560x1440,Intel Core i3 2.24GHz,16GB,512GB SSD,AMD Radeon R5 M315,No OS,2.04kg,31051.97
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg,74538.72
Google,Workstation,15.82,Full HD 2880x1800,AMD Ryzen 7 4.2GHz,16GB,256GB SSD,Intel Iris Pro Graphics,macOS,1.74kg,199372.55
Chuwi,Workstation,15.58,Full HD 2880x1800,Intel Core i3 4.12GHz,8GB,512GB SSD + 1TB HDD,AMD Radeon 520,No OS,3.12kg,167665.63
Google,2 in 1 Convertible,14.25,Full HD 2880x1800,Intel Core i5 2.09GHz,8GB,1TB SSD,AMD R17M-M1-70,Mac OS X,1.65kg,40244.33
Google,2 in 1 Convertible,12.04,Full HD 3840x2160,Intel Core i3 2.31GHz,32GB,512GB SSD,Nvidia GeForce MX150,Android,1.07kg,117340.51
Apple,Netbook,17.23,Full HD 1920x1080,Intel Core i3 2.35GHz,4GB,512GB SSD,AMD R17M-M1-70,Chrome OS,1.82kg,195271.99
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,Linux,2.18kg,23650.992
Chuwi,Workstation,14.97,Full HD 2880x1800,Intel Core i7 1.96GHz,16GB,512GB SSD + 1TB HDD,Intel HD Graphics 500,macOS,1.12kg,116350.23
Chuwi,Workstation,17.88,Full HD 2880x1800,AMD Ryzen 5 3.97GHz,16GB,512GB SSD,AMD Radeon 520,Mac OS X,2.13kg,170756.59
Acer,Workstation,16.44,Full HD 2880x1800,Intel Core i5 3.18GHz,32GB,512GB SSD + 1TB HDD,Nvidia GeForce 960M,Linux,2.32kg,30302.48
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,71847.0144
Apple,2 in 1 Convertible,14.68,Full HD 2880x1800,AMD Ryzen 5 3.48GHz,16GB,512GB SSD + 1TB HDD,Intel HD Graphics 405,Windows 7,2.24kg,126979.74
MSI,Netbook,14.26,Full HD 2880x1800,AMD Ryzen 7 1.69GHz,8GB,1TB SSD,Nvidia Quadro 3000M,Windows 7,2.86kg,67001.77
Razer,Notebook,11.02,Full HD 1366x768,Intel Core i5 3.35GHz,8GB,512GB SSD + 1TB HDD,AMD Radeon R7 M465,Linux,1.76kg,197430.31
Vero,Gaming,12.91,Full HD 1920x1080,Intel Core i5 2.18GHz,32GB,1TB SSD,AMD FirePro W4190M,Linux,2.85kg,45496.84
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5kg,52161.12
Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.38kg,71874.72
Vero,2 in 1 Convertible,12.04,Full HD 1920x1080,Intel Core i5 3.3GHz,8GB,256GB SSD,Nvidia GeForce 960M,Windows 10,3.1kg,72436.24
HP,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.31kg,63349.92
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 520,Windows 10,2.2kg,35964
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg,60867.072
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.1kg,23922.72
Acer,2 in 1 Convertible,13.61,Full HD 2560x1440,AMD Ryzen 7 2.73GHz,8GB,256GB SSD,Intel HD Graphics 405,Chrome OS,2.87kg,139695.89
Toshiba,Workstation,13.7,Full HD 2880x1800,AMD Ryzen 5 3.18GHz,4GB,512GB SSD + 1TB HDD,Intel HD Graphics 520,Windows 10,3.49kg,152967.53
Lenovo,Workstation,11.93,Full HD 1920x1080,AMD Ryzen 7 3.97GHz,16GB,256GB SSD,AMD Radeon R5 430,Windows 10 S,3.14kg,224160.07
Mediacom,Notebook,13.97,Full HD 2560x1440,AMD Ryzen 7 3.51GHz,16GB,1TB SSD,Nvidia Quadro M1000M,macOS,1.13kg,194528.01
Acer,Netbook,12.02,Full HD 3840x2160,Intel Core i3 3.49GHz,16GB,1TB SSD,Nvidia GeForce GTX 1050M,Chrome OS,0.94kg,209130.34
Razer,Notebook,16.21,Full HD 3840x2160,Intel Core i3 3.15GHz,8GB,512GB SSD,Nvidia GeForce GTX 1050Ti,Linux,1.82kg,159582.87
HP,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.43kg,77202.72
Dell,Netbook,17.72,Full HD 3840x2160,AMD Ryzen 7 3.09GHz,8GB,1TB SSD,Nvidia Quadro M3000M,Windows 10,2.32kg,73237.94
Fujitsu,Gaming,12.29,Full HD 2560x1440,Intel Core i5 2.02GHz,4GB,512GB SSD,Nvidia GeForce GTX 1060,Windows 10,3.73kg,30165.86
Mediacom,Workstation,11.99,Full HD 1920x1080,Intel Core i5 1.78GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce 920M,Windows 10,3.77kg,151538.89
Lenovo,Ultrabook,16.41,Full HD 2880x1800,Intel Core i5 3.36GHz,4GB,1TB HDD,AMD Radeon R7 M440,Windows 10,1.62kg,32152.74
Microsoft,Notebook,16.53,Full HD 2560x1440,AMD Ryzen 7 3.98GHz,32GB,256GB SSD,Nvidia GeForce 940M,Windows 7,2.2kg,34149.23
Razer,Workstation,13.67,Full HD 3840x2160,AMD Ryzen 7 1.72GHz,8GB,1TB SSD,Nvidia GeForce GTX1050 Ti,Chrome OS,3.33kg,85658.61
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.9kg,57116.16
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,52054.56
Lenovo,Notebook,17.3,1600x900,AMD A6-Series 9220 2.5GHz,8GB,1TB HDD,AMD Radeon R4,Windows 10,2.8kg,27652.32
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,6GB,128GB SSD,AMD Radeon 530,Windows 10,1.91kg,30310.992
Asus,Netbook,16.55,Full HD 1920x1080,Intel Core i3 1.87GHz,4GB,1TB SSD,AMD Radeon R5 430,No OS,2.16kg,155472.8
Apple,Notebook,15.37,Full HD 2560x1440,Intel Core i3 3.77GHz,32GB,512GB SSD,Nvidia GeForce GTX 1050,Linux,3.25kg,176203.48
Microsoft,Workstation,12.6,Full HD 3840x2160,AMD Ryzen 5 3.57GHz,8GB,1TB HDD,Nvidia GeForce GTX 960M,Windows 7,2.68kg,28199.64
Acer,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.2kg,138474.72
Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,2kg,68464.8
HP,Notebook,14.08,Full HD 3840x2160,AMD Ryzen 7 4.13GHz,8GB,256GB SSD,Nvidia GeForce MX150,No OS,2.26kg,238833.26
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,53226.72
Lenovo,Gaming,11.97,Full HD 2560x1440,AMD Ryzen 5 2.07GHz,16GB,1TB SSD,AMD Radeon RX 580,Mac OS X,2.23kg,175467.85
Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,87325.92
Chuwi,Workstation,15.28,Full HD 1366x768,Intel Core i7 2.19GHz,16GB,256GB SSD,AMD Radeon R7 Graphics,Android,1.16kg,88564.35
Lenovo,2 in 1 Convertible,16.14,Full HD 1920x1080,AMD Ryzen 5 2.32GHz,8GB,512GB SSD,AMD Radeon RX 550,Android,3.48kg,19505.7
Razer,Netbook,14.27,Full HD 3840x2160,Intel Core i5 3.72GHz,32GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Android,2.39kg,186314.44
Huawei,Notebook,11.82,Full HD 1366x768,Intel Core i5 4.0GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon RX 560,macOS,2.57kg,204939.37
Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg,64202.4
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,2.1kg,61751.52
Razer,Ultrabook,14.25,Full HD 1920x1080,AMD Ryzen 5 3.72GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon R5 M430,Windows 7,2.64kg,214421.8
Acer,Netbook,17.4,Full HD 1366x768,AMD Ryzen 5 2.68GHz,4GB,512GB SSD + 1TB HDD,Intel HD Graphics 630,Mac OS X,3.38kg,235429.48
Acer,Workstation,16.53,Full HD 2880x1800,AMD Ryzen 7 2.18GHz,16GB,512GB SSD,Nvidia GeForce MX130,Mac OS X,1.61kg,120551.49
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,macOS,1.37kg,75604.32
HP,Notebook,16.98,Full HD 3840x2160,AMD Ryzen 5 1.61GHz,4GB,256GB SSD,Nvidia GeForce MX150,macOS,2.39kg,54249.88
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.63kg,68198.4
Toshiba,Netbook,12.4,Full HD 3840x2160,Intel Core i5 4.1GHz,4GB,512GB SSD,Intel HD Graphics 540,Windows 10 S,3.11kg,205133.73
LG,2 in 1 Convertible,11.01,Full HD 1920x1080,Intel Core i7 3.19GHz,32GB,1TB SSD,Intel HD Graphics 505,Linux,3.32kg,243590.47
Samsung,Ultrabook,14.49,Full HD 2560x1440,AMD Ryzen 5 1.84GHz,16GB,512GB SSD,AMD Radeon R7 M445,Android,1.35kg,125589.31
Toshiba,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,42251.04
HP,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.43kg,79920
Huawei,Notebook,17.59,Full HD 3840x2160,AMD Ryzen 5 4.37GHz,8GB,512GB SSD,Nvidia Quadro M620,Windows 10,1.94kg,42458.45
Razer,2 in 1 Convertible,15.13,Full HD 1920x1080,Intel Core i7 2.02GHz,4GB,1TB HDD,AMD Radeon RX 550,No OS,3.69kg,189242.77
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 510,Windows 10,2.1kg,16943.04
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,31381.92
Apple,Gaming,17.05,Full HD 2880x1800,Intel Core i7 3.87GHz,4GB,1TB SSD,Nvidia Quadro M3000M,Chrome OS,1.5kg,170388.71
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.64kg,55904.5728
LG,Gaming,16.79,Full HD 2560x1440,Intel Core i7 4.41GHz,32GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960M,Windows 10 S,2.48kg,183803.64
Lenovo,Notebook,12.06,Full HD 2880x1800,Intel Core i5 3.16GHz,32GB,1TB SSD,Nvidia Quadro M620M,Android,0.93kg,195850.6
Google,Ultrabook,11.1,Full HD 3840x2160,AMD Ryzen 5 4.44GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050M,Android,2.71kg,183925.22
Google,Gaming,15.48,Full HD 2560x1440,AMD Ryzen 5 2.39GHz,32GB,512GB SSD,AMD Radeon R7 M440,Linux,1.8kg,19100.78
Google,Netbook,13.77,Full HD 3840x2160,Intel Core i5 2.61GHz,8GB,256GB SSD,AMD Radeon R5 M420,Windows 10,0.97kg,136776.37
Huawei,Gaming,13.19,Full HD 3840x2160,AMD Ryzen 5 2.35GHz,8GB,512GB SSD + 1TB HDD,AMD FirePro W5130M,Windows 10 S,3.2kg,181990.26
Razer,Gaming,17.35,Full HD 2880x1800,Intel Core i3 2.38GHz,32GB,512GB SSD,Nvidia GTX 980 SLI,macOS,3.54kg,219085.6
Google,Gaming,14.17,Full HD 1920x1080,AMD Ryzen 7 1.62GHz,4GB,1TB HDD,Nvidia GeForce GTX1060,Linux,1.45kg,231811.48
Chuwi,2 in 1 Convertible,17.2,Full HD 2560x1440,AMD Ryzen 7 1.7GHz,32GB,512GB SSD,AMD Radeon R7 Graphics,No OS,3.27kg,111988.06
MSI,Ultrabook,12.93,Full HD 2560x1440,Intel Core i5 2.33GHz,8GB,256GB SSD,Intel HD Graphics 530,Windows 10,3.49kg,18440.56
Mediacom,Ultrabook,14.98,Full HD 2880x1800,AMD Ryzen 5 2.79GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Mac OS X,2.32kg,143650.31
Lenovo,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,6GB,256GB SSD,Nvidia GeForce 920M,Windows 10,1.54kg,44275.68
Asus,2 in 1 Convertible,13.17,Full HD 2880x1800,AMD Ryzen 5 2.92GHz,32GB,1TB SSD,AMD Radeon R2,Windows 10 S,2.2kg,227289.32
Chuwi,Workstation,17.88,Full HD 1366x768,AMD Ryzen 5 3.77GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon 530,No OS,1.43kg,182244.32
Xiaomi,Workstation,17.39,Full HD 2880x1800,AMD Ryzen 7 3.12GHz,8GB,1TB SSD,Nvidia GeForce GTX1080,Mac OS X,1.42kg,239954.46
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.96kg,31914.1872
Fujitsu,Ultrabook,16.11,Full HD 2560x1440,Intel Core i3 2.64GHz,8GB,512GB SSD,Intel Iris Graphics 550,Windows 10 S,1.39kg,78533.9
HP,Netbook,11.81,Full HD 2560x1440,Intel Core i7 3.02GHz,32GB,1TB SSD,Nvidia Quadro M1000M,Linux,0.96kg,139373.14
Xiaomi,Workstation,13.5,Full HD 2560x1440,AMD Ryzen 5 1.66GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,Chrome OS,1.15kg,49911.26
Acer,Netbook,14.43,Full HD 1366x768,AMD Ryzen 7 1.8GHz,8GB,1TB SSD,Nvidia GeForce GTX 1060,Windows 7,2.4kg,151684.52
Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.2kg,31808.16
Samsung,Netbook,16.91,Full HD 1920x1080,Intel Core i3 1.57GHz,16GB,1TB SSD,Nvidia GeForce GTX 940M,Linux,3.73kg,241924.83
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.29kg,86526.72
Microsoft,Netbook,14.5,Full HD 3840x2160,Intel Core i5 3.07GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960M,No OS,1.59kg,210043.55
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.07kg,48484.8
Samsung,Netbook,13.59,Full HD 3840x2160,AMD Ryzen 7 2.61GHz,8GB,512GB SSD,Nvidia GeForce GTX 960M,Windows 10 S,3.55kg,102331.36
Chuwi,Netbook,17.55,Full HD 2880x1800,AMD Ryzen 7 3.99GHz,4GB,512GB SSD,Intel Graphics 620,Windows 10,1.14kg,93437.99
Fujitsu,2 in 1 Convertible,12.87,Full HD 2880x1800,AMD Ryzen 5 1.95GHz,16GB,1TB HDD,Nvidia GeForce 920,Chrome OS,1.12kg,45899.64
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.94kg,120831.5808
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg,32639.8608
HP,Netbook,16.35,Full HD 2880x1800,AMD Ryzen 7 2.76GHz,16GB,256GB SSD,Intel HD Graphics 540,Linux,1.7kg,19802.52
MSI,Ultrabook,17.05,Full HD 1920x1080,AMD Ryzen 5 2.35GHz,32GB,1TB SSD,Intel HD Graphics 615,Windows 10,1.69kg,139845.21
Toshiba,Notebook,15.36,Full HD 1366x768,AMD Ryzen 7 3.65GHz,8GB,512GB SSD,Nvidia GeForce 920M,Mac OS X,3.66kg,35109.86
Apple,Notebook,16.89,Full HD 2560x1440,Intel Core i7 3.76GHz,8GB,512GB SSD,Intel HD Graphics 620 ,Windows 7,1.14kg,139232.01
Samsung,Workstation,15.42,Full HD 2880x1800,AMD Ryzen 5 1.87GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R7,macOS,2.86kg,88389.77
Vero,Netbook,17.87,Full HD 1920x1080,Intel Core i5 2.98GHz,4GB,1TB SSD,Intel HD Graphics 510,macOS,3.27kg,125651.82
Vero,Netbook,11.24,Full HD 1920x1080,Intel Core i7 1.62GHz,32GB,512GB SSD,Nvidia GTX 980 SLI,macOS,2.56kg,221335.3
Dell,Netbook,15.72,Full HD 2880x1800,Intel Core i3 2.02GHz,32GB,1TB SSD,Nvidia GeForce GTX 960<U+039C>,macOS,2.22kg,149494.67
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,56502.9072
Razer,Notebook,14.29,Full HD 2560x1440,Intel Core i5 4.14GHz,16GB,1TB SSD,Nvidia GeForce 930M,No OS,1.37kg,60596.53
Chuwi,Netbook,16.59,Full HD 1366x768,AMD Ryzen 7 2.84GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon R7 M460,Mac OS X,3.58kg,228500.26
Lenovo,Netbook,14.92,Full HD 3840x2160,Intel Core i3 2.25GHz,4GB,512GB SSD,Nvidia GeForce GTX 1060,Linux,3.31kg,193766.97
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia GeForce 930M,Windows 10,2.4kg,74751.84
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,19980
Toshiba,2 in 1 Convertible,15.89,Full HD 3840x2160,Intel Core i7 3.34GHz,16GB,256GB SSD,AMD Radeon R7 M460,Mac OS X,1.65kg,73866.79
HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.26kg,74538.1872
Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.42kg,13266.72
HP,Gaming,12.04,Full HD 1366x768,AMD Ryzen 7 1.99GHz,8GB,1TB SSD,ARM Mali T860 MP4,macOS,1.87kg,48772.01
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,130001.6016
LG,2 in 1 Convertible,12,Full HD 2880x1800,Intel Core i7 3.0GHz,32GB,512GB SSD,AMD Radeon 530,Mac OS X,3.13kg,244814.74
Mediacom,Workstation,11.83,Full HD 2560x1440,AMD Ryzen 5 3.84GHz,4GB,1TB SSD,AMD Radeon R7,No OS,0.91kg,93038.91
Samsung,2 in 1 Convertible,14.05,Full HD 3840x2160,AMD Ryzen 5 3.11GHz,32GB,1TB HDD,Nvidia GeForce GTX 965M,Windows 10 S,0.92kg,196622.75
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.94kg,96916.32
MSI,Notebook,16.37,Full HD 3840x2160,Intel Core i5 2.43GHz,8GB,1TB HDD,AMD Radeon 520,No OS,3.71kg,65497.54
Apple,Workstation,13.6,Full HD 3840x2160,AMD Ryzen 5 1.79GHz,8GB,512GB SSD,AMD Radeon R3,Chrome OS,3.58kg,211584.35
Razer,Gaming,16.14,Full HD 3840x2160,AMD Ryzen 7 2.73GHz,8GB,512GB SSD + 1TB HDD,AMD Radeon 540,Chrome OS,1.9kg,226181.89
Lenovo,Workstation,13.01,Full HD 3840x2160,AMD Ryzen 5 2.36GHz,8GB,1TB HDD,ARM Mali T860 MP4,macOS,1.61kg,153132.4
Mediacom,Notebook,15.68,Full HD 1366x768,AMD Ryzen 5 2.23GHz,8GB,256GB SSD,Nvidia GeForce GTX 1060,Android,3.36kg,149806.45
HP,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,500GB HDD,Nvidia Quadro M1200,Windows 10,3.14kg,101657.7072
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,8GB,256GB SSD,AMD Radeon R5 M420X,Windows 10,2kg,39373.92
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,73366.56
Google,Workstation,14.86,Full HD 1366x768,Intel Core i5 2.23GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon R9 M385,Chrome OS,2.82kg,186185.37
HP,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,2.31kg,81731.52
Chuwi,Netbook,12.14,Full HD 2560x1440,Intel Core i5 4.31GHz,4GB,1TB HDD,Nvidia GeForce GTX 970M,macOS,1.84kg,93644
Lenovo,Ultrabook,16.55,Full HD 1920x1080,Intel Core i5 3.02GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon R4 Graphics,Mac OS X,3.02kg,85768.8
Dell,Gaming,12.56,Full HD 1366x768,Intel Core i3 4.29GHz,4GB,1TB HDD,AMD Radeon R2 Graphics,macOS,3.25kg,61057.26
Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,Windows 10,2.36kg,29696.6736
Razer,Ultrabook,17.73,Full HD 3840x2160,Intel Core i3 2.29GHz,8GB,1TB HDD,Nvidia Quadro M2200M,Mac OS X,1.47kg,142875.16
HP,Ultrabook,16.83,Full HD 1920x1080,Intel Core i3 3.97GHz,4GB,1TB SSD,Nvidia Quadro M1000M,Windows 7,3.72kg,171937.4
Lenovo,Ultrabook,13.3,Full HD 2560x1440,Intel Core i7 1.84GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,Chrome OS,1.98kg,170615.67
Apple,2 in 1 Convertible,11.96,Full HD 2880x1800,Intel Core i5 2.19GHz,16GB,1TB SSD,AMD FirePro W4190M ,Linux,2.49kg,174031.49
Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,2.02kg,71395.2
Lenovo,Ultrabook,15.96,Full HD 3840x2160,Intel Core i5 4.3GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1050Ti,Chrome OS,1.25kg,194482.8
Apple,Workstation,13.44,Full HD 2880x1800,Intel Core i3 1.99GHz,16GB,512GB SSD,AMD FirePro W5130M,Mac OS X,1.99kg,165814.08
Toshiba,2 in 1 Convertible,12.1,Full HD 2560x1440,Intel Core i7 3.56GHz,4GB,512GB SSD,AMD Radeon Pro 555,Mac OS X,2.68kg,206391.58
Acer,Netbook,13.65,Full HD 3840x2160,Intel Core i3 4.07GHz,16GB,1TB HDD,Intel HD Graphics 620,Linux,3.66kg,30698.92
Dell,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.26kg,91288.3536
Asus,Netbook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10 S,1.2kg,18115.2
